Date,Fund,Product,Book,ProductClass,Vega Notional,Financial PnL, NAV 
1/8/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 961 CAP 2.5 05OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.20,8444.478664,983323569.03
1/8/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 615.04 06JAN2021 16JUL2021,Vol_SPX/NDX_,Variance Swap,-10000.00,75432.95608,983323569.03
1/7/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-25000.00,259104.5577,1018984411.18
1/7/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 650.25 06JAN2021 21JAN2022,Vol_SPX/NDX_,Variance Swap,-46500.00,-272210.3864,1018984411.18
1/7/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-36800.00,343733.8831,1018984411.18
1/7/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 936.36 22SEP2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-93000.00,134257.235,1018984411.18
1/7/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 961 CAP 2.5 05OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-46500.00,59554.35989,1018984411.18
1/7/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 1169.64 CAP 2.5 28OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.20,164418.7616,1018984411.18
1/7/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 615.04 06JAN2021 16JUL2021,Vol_SPX/NDX_,Variance Swap,-10000.00,-561820.1603,1018984411.18
1/6/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 615.04 06JAN2021 16JUL2021,Vol_SPX/NDX_,Variance Swap,-25000.00,399399.2689,1048223146.14
1/6/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-46500.00,6629.865864,1048223146.14
1/6/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 650.25 06JAN2021 21JAN2022,Vol_SPX/NDX_,Variance Swap,-36800.00,234276.8722,1048223146.14
1/6/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 1169.64 CAP 2.5 28OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-93000.00,-13856.51618,1048223146.14
1/6/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-46500.00,40120.20431,1048223146.14
1/6/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 936.36 22SEP2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.20,-8094.03391,1048223146.14
1/6/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 961 CAP 2.5 05OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-10000.00,-5097.039635,1048223146.14
1/5/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 961 CAP 2.5 05OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.00,25715.78215,1003972435.89
1/5/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 936.36 22SEP2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-36800.00,59647.57331,1003972435.89
1/5/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-46500.00,185623.6003,1003972435.89
1/5/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-25000.20,139276.8555,1003972435.89
1/5/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 1169.64 CAP 2.5 28OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-10000.00,69240.32211,1003972435.89
1/4/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 1169.64 CAP 2.5 28OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.00,-123537.0792,987368312.49
1/4/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-36800.00,-339899.9921,987368312.49
1/4/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-46500.00,-474629.4255,987368312.49
1/4/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 961 CAP 2.5 05OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.20,-47482.83389,987368312.49
1/4/2021,VISTA MACRO MASTER FIM,Swap SPX VAR 936.36 22SEP2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-10000.00,-109399.6179,987368312.49
12/31/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 961 CAP 2.5 05OCT2020 19MAR2021,Vol_SPX/NDX_,Variance Swap,-25000.00,10903.34178,979891292.47
12/31/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 702.25 23DEC2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-36800.00,108296.1793,979891292.47
12/31/2020,VISTA MACRO MASTER FIM,Swap SPX VAR 630.01 CAP 2.5 18NOV2020 18JUN2021,Vol_SPX/NDX_,Variance Swap,-46500.00,76477.71203,979891292.47
